case_id,activity,timestamp,type
case_1,Start,2024-12-01 09:00:00,start
case_1,Parallel_9,2024-12-01 09:00:01,parallel
case_1,Parallel_3,2024-12-01 09:00:01,parallel
case_1,Parallel_5,2024-12-01 09:00:02,parallel
case_1,Parallel_4,2024-12-01 09:00:03,parallel
case_1,Parallel_7,2024-12-01 09:00:01,parallel
case_1,Parallel_1,2024-12-01 09:00:02,parallel
case_1,Parallel_8,2024-12-01 09:00:02,parallel
case_1,Parallel_2,2024-12-01 09:00:02,parallel
case_1,Parallel_6,2024-12-01 09:00:04,parallel
case_1,Cyclic_1,2024-12-01 09:00:16,cyclic
case_1,Cyclic_2,2024-12-01 09:00:15,cyclic
case_1,Async_Call_Start,2024-12-01 09:00:15,async
case_1,Async_Call_End,2024-12-01 09:00:16,async
case_1,End,2024-12-01 09:00:15,end
case_2,Start,2024-12-01 10:00:00,start
case_2,Parallel_9,2024-12-01 10:00:02,parallel
case_2,Parallel_4,2024-12-01 10:00:01,parallel
case_2,Parallel_2,2024-12-01 10:00:03,parallel
case_2,Parallel_1,2024-12-01 10:00:02,parallel
case_2,Parallel_5,2024-12-01 10:00:02,parallel
case_2,Parallel_3,2024-12-01 10:00:02,parallel
case_2,Parallel_8,2024-12-01 10:00:03,parallel
case_2,Parallel_7,2024-12-01 10:00:01,parallel
case_2,Parallel_6,2024-12-01 10:00:03,parallel
case_2,Cyclic_1,2024-12-01 10:00:12,cyclic
case_2,Cyclic_2,2024-12-01 10:00:13,cyclic
case_2,Cyclic_3,2024-12-01 10:00:11,cyclic
case_2,Async_Call_Start,2024-12-01 10:00:15,async
case_2,Async_Call_End,2024-12-01 10:00:18,async
case_2,End,2024-12-01 10:00:13,end
case_3,Start,2024-12-01 11:00:00,start
case_3,Parallel_2,2024-12-01 11:00:06,parallel
case_3,Parallel_6,2024-12-01 11:00:05,parallel
case_3,Parallel_7,2024-12-01 11:00:03,parallel
case_3,Parallel_5,2024-12-01 11:00:03,parallel
case_3,Parallel_3,2024-12-01 11:00:04,parallel
case_3,Parallel_8,2024-12-01 11:00:03,parallel
case_3,Parallel_4,2024-12-01 11:00:05,parallel
case_3,Parallel_1,2024-12-01 11:00:05,parallel
case_3,Parallel_9,2024-12-01 11:00:06,parallel
case_3,Cyclic_1,2024-12-01 11:00:14,cyclic
case_3,Cyclic_2,2024-12-01 11:00:17,cyclic
case_3,Cyclic_3,2024-12-01 11:00:17,cyclic
case_3,Async_Call_Start,2024-12-01 11:00:19,async
case_3,Async_Call_End,2024-12-01 11:00:22,async
case_3,Error_Handler,2024-12-01 11:00:17,error
