case_id,activity,timestamp,resource,lifecycle
1,A - Validate Payment,2024-01-01T08:15:00,Orchestrator,start
1,A - Validate Payment,2024-01-01T08:15:04,Orchestrator,complete
1,A.1 - Basic Validation,2024-01-01T08:15:07,Validator,start
1,A.1.1 - Check Card Number,2024-01-01T08:15:11,Validator,start
1,A.1.1 - Check Card Number,2024-01-01T08:15:12,Validator,complete
1,A.1.2 - Check Expiry,2024-01-01T08:15:16,Validator,start
1,A.1.2 - Check Expiry,2024-01-01T08:15:20,Validator,complete
1,A.1.3 - Check CVV,2024-01-01T08:15:23,Validator,start
1,A.1.3 - Check CVV,2024-01-01T08:15:26,Validator,complete
1,A.1 - Basic Validation,2024-01-01T08:15:30,Validator,complete
1,A.2 - Advanced Validation,2024-01-01T08:15:31,Validator,start
1,A.2.1 - Validate Address,2024-01-01T08:15:32,Validator,start
1,A.2.2 - Validate Zip Code,2024-01-01T08:15:33,Validator,start
1,A.2.1 - Validate Address,2024-01-01T08:15:36,Validator,complete
1,A.2.2 - Validate Zip Code,2024-01-01T08:15:38,Validator,complete
1,A.2 - Advanced Validation,2024-01-01T08:15:42,Validator,complete
1,B - Fraud Checks,2024-01-01T08:15:44,FraudOrchestrator,start
1,B.1 - Run Fraud Engine,2024-01-01T08:15:47,FraudSystem,start
1,B.1 - Run Fraud Engine,2024-01-01T08:15:51,FraudSystem,complete
1,B.2 - Fraud Notification Call (Case 1),2024-01-01T08:15:54,AsyncNotifier,start
1,B.2 - Fraud Notification Call (Case 1),2024-01-01T08:15:56,AsyncNotifier,complete
1,B.3 - Parallel Checks,2024-01-01T08:15:59,FraudSystem,start
1,B.3.1 - Check Geolocation,2024-01-01T08:16:00,GeoSystem,start
1,B.3.2 - Check Transaction History,2024-01-01T08:16:01,HistorySystem,start
1,B.3.1 - Check Geolocation,2024-01-01T08:16:05,GeoSystem,complete
1,B.3.2 - Check Transaction History,2024-01-01T08:16:06,HistorySystem,complete
1,B.3 - Parallel Checks,2024-01-01T08:16:10,FraudSystem,complete
1,B - Fraud Checks,2024-01-01T08:16:14,FraudOrchestrator,complete
1,C - Fund Authorization,2024-01-01T08:16:15,FinanceSystem,start
1,C.1 - Bank API Call (Case 1),2024-01-01T08:16:19,BankSystem,start
1,C.1 - Bank API Call (Case 1),2024-01-01T08:16:20,BankSystem,complete
1,C.2 - Receive Bank Response,2024-01-01T08:16:24,BankSystem,start
1,C.2 - Receive Bank Response,2024-01-01T08:16:27,BankSystem,complete
1,C - Fund Authorization,2024-01-01T08:16:31,FinanceSystem,complete
1,D - Charge Card,2024-01-01T08:16:35,ChargeSystem,start
1,D.1 - Charge Request (Case 1),2024-01-01T08:16:39,ChargeSystem,start
1,D.1 - Charge Request (Case 1),2024-01-01T08:16:41,ChargeSystem,complete
1,D.2 - Receive Charge Response,2024-01-01T08:16:44,ChargeSystem,start
1,D.2 - Receive Charge Response,2024-01-01T08:16:48,ChargeSystem,complete
1,D - Charge Card,2024-01-01T08:16:52,ChargeSystem,complete
1,E - Notification & Reconciliation,2024-01-01T08:16:54,Orchestrator,start
1,E.1 - Customer Notification (Case 1),2024-01-01T08:16:57,Notifier,start
1,E.1 - Customer Notification (Case 1),2024-01-01T08:17:00,Notifier,complete
1,E.2 - Merchant Notification (Case 1),2024-01-01T08:17:04,Notifier,start
1,E.2 - Merchant Notification (Case 1),2024-01-01T08:17:07,Notifier,complete
1,E.3 - Update Ledger,2024-01-01T08:17:10,LedgerSystem,start
1,E.3.1 - Insert Transaction Record,2024-01-01T08:17:13,LedgerSystem,start
1,E.3.1 - Insert Transaction Record,2024-01-01T08:17:16,LedgerSystem,complete
1,E.3.2 - Close Ledger Entry,2024-01-01T08:17:19,LedgerSystem,start
1,E.3.2 - Close Ledger Entry,2024-01-01T08:17:21,LedgerSystem,complete
1,E.3 - Update Ledger,2024-01-01T08:17:23,LedgerSystem,complete
1,E.4 - Reconcile Batch,2024-01-01T08:17:25,BatchSystem,start
1,E.4.1 - Aggregate Transactions,2024-01-01T08:17:26,BatchSystem,start
1,E.4.2 - Generate Batch Report,2024-01-01T08:17:27,ReportSystem,start
1,E.4.1 - Aggregate Transactions,2024-01-01T08:17:31,BatchSystem,complete
1,E.4.2 - Generate Batch Report,2024-01-01T08:17:34,ReportSystem,complete
1,E.4 - Reconcile Batch,2024-01-01T08:17:37,BatchSystem,complete
1,E - Notification & Reconciliation,2024-01-01T08:17:41,Orchestrator,complete
2,A - Validate Payment,2024-01-01T08:30:00,Orchestrator,start
2,A - Validate Payment,2024-01-01T08:30:01,Orchestrator,complete
2,A.1 - Basic Validation,2024-01-01T08:30:04,Validator,start
2,A.1.1 - Check Card Number,2024-01-01T08:30:05,Validator,start
2,A.1.1 - Check Card Number,2024-01-01T08:30:06,Validator,complete
2,A.1.2 - Check Expiry,2024-01-01T08:30:09,Validator,start
2,A.1.2 - Check Expiry,2024-01-01T08:30:11,Validator,complete
2,A.1.3 - Check CVV,2024-01-01T08:30:14,Validator,start
2,A.1.3 - Check CVV,2024-01-01T08:30:18,Validator,complete
2,A.1 - Basic Validation,2024-01-01T08:30:20,Validator,complete
2,A.2 - Advanced Validation,2024-01-01T08:30:24,Validator,start
