case_id,activity,timestamp,type
case_1,Start,2024-12-01 09:00:00,start
case_1,Parallel_A,2024-12-01 09:00:06,parallel
case_1,Parallel_B,2024-12-01 09:00:03,parallel
case_1,Cyclic_1,2024-12-01 09:00:11,cyclic
case_1,Cyclic_2,2024-12-01 09:00:12,cyclic
case_1,Cyclic_3,2024-12-01 09:00:20,cyclic
case_1,Async_Call_Start,2024-12-01 09:00:21,async
case_1,Async_Call_End,2024-12-01 09:00:35,async
case_1,End,2024-12-01 09:00:27,end
case_2,Start,2024-12-01 10:00:00,start
case_2,Parallel_A,2024-12-01 10:00:08,parallel
case_2,Parallel_B,2024-12-01 10:00:10,parallel
case_2,Cyclic_1,2024-12-01 10:00:12,cyclic
case_2,Async_Call_Start,2024-12-01 10:00:10,async
case_2,Async_Call_End,2024-12-01 10:00:11,async
case_2,Error_Handler,2024-12-01 10:00:16,error
case_2,End,2024-12-01 10:00:12,end
case_3,Start,2024-12-01 11:00:00,start
case_3,Parallel_A,2024-12-01 11:00:10,parallel
case_3,Parallel_B,2024-12-01 11:00:19,parallel
case_3,Cyclic_1,2024-12-01 11:00:21,cyclic
case_3,Async_Call_Start,2024-12-01 11:00:26,async
case_3,Async_Call_End,2024-12-01 11:00:32,async
case_3,End,2024-12-01 11:00:25,end
case_4,Start,2024-12-01 12:00:00,start
case_4,Parallel_A,2024-12-01 12:00:07,parallel
case_4,Parallel_B,2024-12-01 12:00:07,parallel
case_4,Cyclic_1,2024-12-01 12:00:07,cyclic
case_4,Cyclic_2,2024-12-01 12:00:16,cyclic
case_4,Cyclic_3,2024-12-01 12:00:29,cyclic
case_4,Async_Call_Start,2024-12-01 12:00:40,async
case_4,Async_Call_End,2024-12-01 12:00:51,async
case_4,End,2024-12-01 12:00:35,end
case_5,Start,2024-12-01 13:00:00,start
case_5,Parallel_A,2024-12-01 13:00:03,parallel
case_5,Parallel_B,2024-12-01 13:00:04,parallel
case_5,Cyclic_1,2024-12-01 13:00:11,cyclic
case_5,Async_Call_Start,2024-12-01 13:00:13,async
case_5,Async_Call_End,2024-12-01 13:00:20,async
case_5,End,2024-12-01 13:00:17,end
case_6,Start,2024-12-01 14:00:00,start
case_6,Parallel_A,2024-12-01 14:00:02,parallel
case_6,Parallel_B,2024-12-01 14:00:03,parallel
case_6,Cyclic_1,2024-12-01 14:00:11,cyclic
case_6,Cyclic_2,2024-12-01 14:00:07,cyclic
case_6,Async_Call_Start,2024-12-01 14:00:20,async
case_6,Async_Call_End,2024-12-01 14:00:20,async
case_6,End,2024-12-01 14:00:19,end
case_7,Start,2024-12-01 15:00:00,start
case_7,Parallel_A,2024-12-01 15:00:10,parallel
case_7,Parallel_B,2024-12-01 15:00:02,parallel
case_7,Cyclic_1,2024-12-01 15:00:14,cyclic
case_7,Cyclic_2,2024-12-01 15:00:24,cyclic
case_7,Async_Call_Start,2024-12-01 15:00:29,async
case_7,Async_Call_End,2024-12-01 15:00:44,async
case_7,Error_Handler,2024-12-01 15:00:27,error
case_7,End,2024-12-01 15:00:28,end
case_8,Start,2024-12-01 16:00:00,start
case_8,Parallel_A,2024-12-01 16:00:06,parallel
case_8,Parallel_B,2024-12-01 16:00:16,parallel
case_8,Cyclic_1,2024-12-01 16:00:14,cyclic
case_8,Cyclic_2,2024-12-01 16:00:24,cyclic
case_8,Cyclic_3,2024-12-01 16:00:26,cyclic
case_8,Async_Call_Start,2024-12-01 16:00:35,async
case_8,Async_Call_End,2024-12-01 16:00:49,async
case_8,End,2024-12-01 16:00:35,end
case_9,Start,2024-12-01 17:00:00,start
case_9,Parallel_A,2024-12-01 17:00:10,parallel
case_9,Parallel_B,2024-12-01 17:00:08,parallel
case_9,Cyclic_1,2024-12-01 17:00:19,cyclic
case_9,Async_Call_Start,2024-12-01 17:00:24,async
case_9,Async_Call_End,2024-12-01 17:00:34,async
case_9,Error_Handler,2024-12-01 17:00:16,error
case_9,End,2024-12-01 17:00:21,end
case_10,Start,2024-12-01 18:00:00,start
case_10,Parallel_A,2024-12-01 18:00:10,parallel
case_10,Parallel_B,2024-12-01 18:00:03,parallel
case_10,Cyclic_1,2024-12-01 18:00:07,cyclic
case_10,Cyclic_2,2024-12-01 18:00:19,cyclic
case_10,Async_Call_Start,2024-12-01 18:00:27,async
case_10,Async_Call_End,2024-12-01 18:00:36,async
case_10,Error_Handler,2024-12-01 18:00:27,error
case_10,End,2024-12-01 18:00:29,end
